Bouteille_id,Date_deg,Commentaire
1215,10/09/2017,"Bon, mais petit manque de caractère. Par contre, accord parfait avec du poisson et des moules marinieres."
1216,18/05/2017,Miam ! Simple mais bon.
1217,02/06/2017,Miam ! Simple mais bon.
1218,06/07/2017,Miam ! Simple mais bon.
1219,20/01/2018,Miam ! Simple mais bon.
1220,23/03/2018,Miam ! Simple mais bon.
1221,15/06/2019,Miam ! Simple mais bon.
1222,18/05/2016,Très sucré. Un peu trop ? Ou alors à attendre. Meilleur en 19 mais pas encore très subtil
1223,29/10/2019,Très sucré. Un peu trop ? Ou alors à attendre. Meilleur en 19 mais pas encore très subtil
1224,03/07/2016,"Bof, fluide et acidulé."
1225,17/06/2017,A reserver aux becs sucrés
1226,20/11/2017,A reserver aux becs sucrés
1227,15/07/2017,"Fermé et astringent actuellement, 100% Tannat, A tester en 2015, 10 ans de garde."
1228,19/03/2020,"Très bon, raffiné, à boire mas peut aussi attendre. Très bon, ouvrir 3 heures avant. Bouteille d’octobre 2014 pas bonne du tout ! Mars 2020 : excellent après 5 h d'ouverture et encore meilleur le lendemain"
1229,15/05/2015,"Fort bon, même meilleur qu’au salon. Sauvignon miam. Confirmé : excellent et excellent rapport q/p. A reprendre en 2017"
1230,16/10/2015,"Fort bon, même meilleur qu’au salon. Sauvignon miam. Confirmé : excellent et excellent rapport q/p. A reprendre en 2017"
1231,25/02/2017,"Fort bon, même meilleur qu’au salon. Sauvignon miam. Confirmé : excellent et excellent rapport q/p. A reprendre en 2017"
1232,19/03/2017,A attendre
1233,24/11/2019,
1234,07/04/2018,Superlatif
1235,28/06/2017,"Grand vin dans 10 ans. Pour le moment, très fin mais doit un peu digérer son sucre et gagner en amertume."
1236,26/09/2015,"Très bon, très fin, mais à attendre 5 ans pour que l’acidité se fonde."
1237,16/10/2015,très étrange. A attendre pour voir comment ce vin digère son élevage ambitieux (trop?). Meilleur sur la deuxieme bouteille et un minestrone
1238,07/10/2016,très étrange. A attendre pour voir comment ce vin digère son élevage ambitieux (trop?). Meilleur sur la deuxieme bouteille et un minestrone
1239,10/06/2017,"Très bon vouvray,doux sans acidité. Prix probablement excessif."
1240,07/09/2016,
1241,07/10/2016,Doux.
1242,29/03/2020,Sans surprise
1243,21/12/2016,"Excellent, goût puissant de Syrah, très fin."
1244,25/02/2018,A laisser attendre => puissant
1245,03/11/2018,Très fin et élégant. Peut encore attendre un an. Très bon en 2021
1246,16/10/2019,Très fin et élégant. Peut encore attendre un an. Très bon en 2021
1247,03/12/2021,Très fin et élégant. Peut encore attendre un an. Très bon en 2021
1248,17/07/2019,
1249,05/10/2018,Pas mal. Pas mal.
1250,28/06/2021,Pas mal. Pas mal.
1251,21/02/2020,"Très très bon, à boire sans trop tarder"
1252,30/08/2018,0
1253,15/11/2019,Bof
1254,29/09/2016,"Très bon, mais meilleur après une heure d’ouverture. A servir sur une viande blanche"
1255,18/04/2018,"Bof, manque d’acidité ! Definitvement sans intérêt"
1256,20/11/2016,Fort bon dans un style sec. Tester les cuvées plus haut de gamme de l’exploitant. Troisième bouteille assagie mais bonne aussi.
1257,11/09/2021,Bien fait mais sans caractère
1258,25/02/2017,"Très bon, mais à attendre et rapport q/p questionnable. Definitivement pas génial"
1259,21/07/2021,"Très bon, mais à attendre et rapport q/p questionnable. Definitivement pas génial"
1260,23/11/2015,Wow. Oxydé.
1261,09/07/2018,Wow. Oxydé.
1262,18/06/2016,Un peu oxydé. Deuxieme bouteille aussi oxydée que la première...
1263,07/10/2016,Deuxieme bouteille aussi oxydée que la première...
1264,14/06/2020,Excellent.
1265,25/09/2021,Encore meilleur
1266,11/11/2021,"Troisième bouteille plus aromatique, moins minérale, mais tout simplement excellente."
1267,24/04/2022," Quatrième bouteille toujours aussi bonne, même si très variétal. Valeur sûre."
1268,01/05/2021,Très bon ! Simple mais efficace
1269,29/03/2020,Elegant mais manque de typicité et de race. Trop cher.
1270,02/07/2018,"Bon vin, gras. A laisser poser quelques années pour qu’il s’ouvre. En l’état, bcp de potentiel mais peu de plaisir."
1271,19/02/2019,Excellent. Toujours excellent.
1272,23/05/2021,Excellent. Toujours excellent.
1273,20/06/2021,Excellent. Toujours excellent.
1274,10/08/2019,Haut de gamme. A attendre encore une bonne année pour que l'acidité se fonde et ce sera grand.
1275,15/03/2021,"Encore un brin fermé en 21, bien meilleur sous 48h : attendre!"
1276,01/04/2018,Miam! Rapport q/p d'école…
